Time[mSeconds],Pressure[PSI],Temperature[DegC]
65600,46.92,19.25
65802,49.85,19.25
66003,46.92,19.5
66204,49.85,19.5
66406,46.92,19.5
66608,46.92,19.5
66808,46.92,19.5
67010,46.92,19.25
67212,46.92,19.5
67412,43.99,19.5
67614,46.92,19.25
67816,46.92,19.5
68017,46.92,19.25
68218,49.85,19.5
68420,46.92,19.5
68622,46.92,19.5
68823,46.92,19.5
69024,46.92,19.25
69226,46.92,19.25
69427,46.92,19.5
69628,46.92,19.25
69830,46.92,19.5
70031,46.92,19.5
70233,46.92,19.25
70434,46.92,19.5
70635,46.92,19.5
70837,49.85,19.5
71038,46.92,19.25
71239,46.92,19.5
71441,49.85,19.5
71643,46.92,19.25
71844,46.92,19.5
72045,46.92,19.25
72247,46.92,19.5
72449,46.92,19.5
72649,46.92,19.25
72851,46.92,19.5
73053,46.92,19.5
73253,43.99,19.5
73455,46.92,19.5
73657,49.85,19.5
73858,46.92,19.5
74059,52.79,19.5
74261,46.92,19.5
74462,46.92,19.5
74663,46.92,19.25
74865,46.92,19.5
75067,46.92,19.5
75268,43.99,19.25
75469,49.85,19.5
75671,46.92,19.25
75872,46.92,19.5
76073,46.92,19.25
76275,46.92,19.5
76476,46.92,19.5
76678,46.92,19.5
76879,46.92,19.5
77080,46.92,19.25
77282,55.72,19.25
77484,43.99,19.5
77685,46.92,19.5
77886,46.92,19.5
78088,46.92,19.25
78289,46.92,19.25
78490,46.92,19.5
78692,46.92,19.25
78894,46.92,19.5
79094,49.85,19.25
79296,46.92,19.5
79498,46.92,19.5
79698,46.92,19.5
79900,46.92,19.25
80102,49.85,19.25
80303,49.85,19.25
80504,46.92,19.5
80706,46.92,19.25
80908,46.92,19.5
81108,43.99,19.5
81310,46.92,19.25
81512,52.79,19.25
81713,46.92,19.25
81914,46.92,19.25
82116,46.92,19.25
82317,49.85,19.25
82519,46.92,19.25
82720,46.92,19.5
82921,46.92,19.25
83123,46.92,19.25
83324,46.92,19.25
83526,49.85,19.25
83727,46.92,19.25
83929,46.92,19.25
84130,46.92,19.25
84331,43.99,19.25
84533,46.92,19.25
84734,46.92,19.25
84935,46.92,19.25
85137,46.92,19.5
85339,52.79,19.25
85539,46.92,19.25
85741,46.92,19.25
85943,49.85,19.25
86145,52.79,19.25
86345,46.92,19.25
86547,46.92,19.25
86749,46.92,19.25
86949,49.85,19.25
87151,46.92,19.25
87353,46.92,19.25
87554,46.92,19.25
87755,46.92,19.25
87957,46.92,19.25
88158,49.85,19.25
88359,49.85,19.25
88561,49.85,19.25
88763,49.85,19.25
88964,49.85,19.25
89165,49.85,19.25
89367,49.85,19.25
89568,52.79,19.25
89769,49.85,19.25
89971,52.79,19.25
90172,52.79,19.25
90374,52.79,19.25
90575,52.79,19.25
90776,61.58,19.25
90978,49.85,19.25
91180,52.79,19.25
91381,52.79,19.25
91582,55.72,19.25
91784,52.79,19.25
91985,55.72,19.25
92186,55.72,19.25
92388,55.72,19.25
92590,52.79,19.25
92790,55.72,19.25
92992,55.72,19.25
93194,55.72,19.25
93395,55.72,19.25
93596,52.79,19.25
93798,55.72,19.25
94000,58.65,19.25
94200,58.65,19.25
94402,58.65,19.25
94604,58.65,19.25
94804,58.65,19.25
95006,55.72,19.25
95208,58.65,19.25
95409,70.38,19.25
95610,58.65,19.25
95812,61.58,19.25
96014,61.58,19.25
96215,61.58,19.25
96416,64.52,19.25
96618,61.58,19.25
96819,61.58,19.25
97020,64.52,19.25
97222,64.52,19.25
97423,61.58,19.25
97625,61.58,19.25
97826,64.52,19.25
98027,64.52,19.25
98229,61.58,19.25
98430,64.52,19.25
98632,61.58,19.25
98833,67.45,19.25
99035,64.52,19.25
99236,64.52,19.25
99437,73.31,19.25
99639,61.58,19.25
99841,67.45,19.25
100041,67.45,19.25
100243,67.45,19.25
100445,67.45,19.25
100646,64.52,19.25
100847,64.52,19.25
101049,67.45,19.25
101251,67.45,19.25
101452,67.45,19.25
101653,67.45,19.25
101855,64.52,19.25
102056,67.45,19.25
102258,76.25,19.25
102459,67.45,19.25
